word,word_link,tree
abscesos,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=9420&/abscesos,Inicio | abscesos
inflamacion,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2670&/inflamacion,Inicio | Medicina. Sanidad. Situaciones de peligro | sintomas | inflamacion
abscisas,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1046&/abscisas,Inicio | Matemáticas | geometria | sistemas de coordenadas | abscisas
absentismo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1050&/absentismo,Inicio | Recursos humanos. Personal. Empleo | empleo | absentismo
absoluciones,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1056&/absoluciones,Inicio | Derecho. Legislación | decisiones legales | sentencias judiciales | absoluciones
absolutismo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=6776&/absolutismo,Inicio | absolutismo
dictadura,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=6775&/dictadura,Inicio | Política. Gobierno. Administración Pública | sistemas politicos | dictadura
absorcion,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1058&/absorcion,Inicio | Química I. Productos orgánicos e inorgánicos | quimica | quimica fisica | absorcion
absorcion electromagnetica,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1059&/absorcion-electromagnetica,Inicio | Física | electromagnetismo | absorcion electromagnetica
abstraccion,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2094&/abstraccion,Inicio | Filosofía. Metodología. Creatividad | metodologia de la ciencia | desarrollo de teorias | abstraccion
absurdo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2100&/absurdo,Inicio | Filosofía. Metodología. Creatividad | conceptos | significado | absurdo
aburrimiento,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2102&/aburrimiento,Inicio | Sociología. Psicología. Cultura | conducta humana | conducta individual | conducta afectiva | aburrimiento
abuso de poder (economia),http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2105&/abuso-de-poder-economia,Inicio | Economía. Desarrollo económico y social | concentracion economica | abuso de poder (economia)
acabado de metales,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2115&/acabado-de-metales,Inicio | Tecnología III | tecnologia del trabajado de los metales | acabado de metales
acabado quimico,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2122&/acabado-quimico,Inicio | Tecnología III | tecnologia del trabajado de los metales | acabado de metales | acabado quimico
academias de ciencias,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=4650&/academias-de-ciencias,Inicio | academias de ciencias
centros estatales de i+d,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=4623&/centros%20estatales%20de%20i+d,Inicio | Investigación y Desarrollo | centros de i+d | centros estatales de i+d
academias de cultura general,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2125&/academias-de-cultura-general,Inicio | Educación | centros docentes | centros de enseñanza superior | academias de cultura general
acantilados,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2129&/acantilados,Inicio | Geografía | topografia | acantilados
acaros,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2940&/acaros,Inicio | acaros
aracnidos,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2939&/aracnidos,Inicio | Ciencias Biológicas | animales | invertebrados | artropodos | aracnidos
acast,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2130&/acast,Inicio | Organismos Internacionales | organizaciones intergubernamentales | onu | ecosoc | acast
acceso a la cultura,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=7175&/acceso-la-cultura,Inicio | acceso a la cultura
derecho a la cultura,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=6401&/derecho%20a%20la%20cultura,Inicio | Sociología. Psicología. Cultura | relaciones sociales | derechos humanos | derecho a la cultura
acceso a la educacion,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=1581&/acceso-la-educacion,Inicio | Educación | educacion | sistemas educativos | acceso a la educacion
acceso aleatorio,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2135&/acceso-aleatorio,Inicio | Proceso de datos. Informática | equipo de proceso de datos | soporte fisico de computadores | dispositivos de almacenamiento | acceso aleatorio
acceso directo,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2136&/acceso-directo,Inicio | acceso directo
acceso aleatorio,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2135&/acceso%20aleatorio,Inicio | Proceso de datos. Informática | equipo de proceso de datos | soporte fisico de computadores | dispositivos de almacenamiento | acceso aleatorio
acceso secuencial,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2137&/acceso-secuencial,Inicio | Proceso de datos. Informática | equipo de proceso de datos | soporte fisico de computadores | dispositivos de almacenamiento | acceso secuencial
accesorios de montaje,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2147&/accesorios-de-montaje,Inicio | Tecnología II. Transportes. Ingeniería mecánica | ingenieria mecanica | accesorios de montaje
accesorios de vehiculos,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2151&/accesorios-de-vehiculos,Inicio | Tecnología II. Transportes. Ingeniería mecánica | tecnologia automovilistica | accesorios de vehiculos
accidentes,http://vocabularios.caicyt.gov.ar/spines/index.php?tema=2154&/accidentes,Inicio | Medicina. Sanidad. Situaciones de peligro | situaciones de peligro | accidentes
